周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
6,1,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-09,13:20,16:40,,,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-09,2021-10-09T13:20:00.000+9,2021-10-09T16:40:00.000+9,2021-10-09T00:00:00.000+9,2021-10-09T00:00:00.000+9
6,2,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-16,13:20,16:40,,,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-16,2021-10-16T13:20:00.000+9,2021-10-16T16:40:00.000+9,2021-10-16T00:00:00.000+9,2021-10-16T00:00:00.000+9
6,3,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-23,13:20,16:40,,,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-23,2021-10-23T13:20:00.000+9,2021-10-23T16:40:00.000+9,2021-10-23T00:00:00.000+9,2021-10-23T00:00:00.000+9
6,4,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-30,13:20,16:40,,,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-30,2021-10-30T13:20:00.000+9,2021-10-30T16:40:00.000+9,2021-10-30T00:00:00.000+9,2021-10-30T00:00:00.000+9
6,5,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-11-06,13:20,16:40,,,10,5,1,0,0,0,10/9～10/31_総合保健福祉センター(モデルナ)/2021-11-06,2021-11-06T13:20:00.000+9,2021-11-06T16:40:00.000+9,2021-11-06T00:00:00.000+9,2021-11-06T00:00:00.000+9
6,6,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-11-13,13:20,16:40,,,10,5,1,0,0,0,10/9～10/31_総合保健福祉センター(モデルナ)/2021-11-13,2021-11-13T13:20:00.000+9,2021-11-13T16:40:00.000+9,2021-11-13T00:00:00.000+9,2021-11-13T00:00:00.000+9
6,7,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-11-20,13:20,16:40,,,10,5,1,0,0,0,10/9～10/31_総合保健福祉センター(モデルナ)/2021-11-20,2021-11-20T13:20:00.000+9,2021-11-20T16:40:00.000+9,2021-11-20T00:00:00.000+9,2021-11-20T00:00:00.000+9
6,8,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-11-27,13:20,16:40,,,10,5,1,0,0,0,10/9～10/31_総合保健福祉センター(モデルナ)/2021-11-27,2021-11-27T13:20:00.000+9,2021-11-27T16:40:00.000+9,2021-11-27T00:00:00.000+9,2021-11-27T00:00:00.000+9
6,9,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-10,10:10,15:30,11:50,13:50,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-10,2021-10-10T10:10:00.000+9,2021-10-10T15:30:00.000+9,2021-10-10T11:50:00.000+9,2021-10-10T13:50:00.000+9
6,10,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-17,10:10,15:30,11:50,13:50,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-17,2021-10-17T10:10:00.000+9,2021-10-17T15:30:00.000+9,2021-10-17T11:50:00.000+9,2021-10-17T13:50:00.000+9
6,11,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-24,10:10,15:30,11:50,13:50,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-24,2021-10-24T10:10:00.000+9,2021-10-24T15:30:00.000+9,2021-10-24T11:50:00.000+9,2021-10-24T13:50:00.000+9
6,12,10/9～10/31_総合保健福祉センター(モデルナ),TRUE,2021-10-31,10:10,15:30,11:50,13:50,10,5,1,120,3,3,10/9～10/31_総合保健福祉センター(モデルナ)/2021-10-31,2021-10-31T10:10:00.000+9,2021-10-31T15:30:00.000+9,2021-10-31T11:50:00.000+9,2021-10-31T13:50:00.000+9
